"filename", "language", "C++", "Python", "HTML", "Markdown", "Makefile", "Shell Script", "JSON", "XML", "comment", "blank", "total"
"d:\codes\c++\Rein-Bits\BIOP\.idea\BIOP.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\codes\c++\Rein-Bits\BIOP\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"d:\codes\c++\Rein-Bits\BIOP\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\codes\c++\Rein-Bits\BIOP\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\codes\c++\Rein-Bits\BIOP\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\codes\c++\Rein-Bits\BIOP\BIOP.cpp", "C++", 184, 0, 0, 0, 0, 0, 0, 0, 159, 31, 374
"d:\codes\c++\Rein-Bits\BIOP\BIOP.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 7, 7, 49
"d:\codes\c++\Rein-Bits\BIOP\BIOP1.cpp", "C++", 276, 0, 0, 0, 0, 0, 0, 0, 44, 33, 353
"d:\codes\c++\Rein-Bits\BIOP\BIOP1.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 7, 7, 50
"d:\codes\c++\Rein-Bits\BIOP\BIOP2.cpp", "C++", 327, 0, 0, 0, 0, 0, 0, 0, 165, 34, 526
"d:\codes\c++\Rein-Bits\BIOP\BIOP2.h", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 6, 7, 50
"d:\codes\c++\Rein-Bits\BIOP\BIOP3.cpp", "C++", 267, 0, 0, 0, 0, 0, 0, 0, 36, 33, 336
"d:\codes\c++\Rein-Bits\BIOP\BIOP3.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 6, 7, 49
"d:\codes\c++\Rein-Bits\BIOP\BIOP4.cpp", "C++", 387, 0, 0, 0, 0, 0, 0, 0, 53, 38, 478
"d:\codes\c++\Rein-Bits\BIOP\BIOP4.h", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 6, 8, 51
"d:\codes\c++\Rein-Bits\BIOP\BIOP5.cpp", "C++", 399, 0, 0, 0, 0, 0, 0, 0, 59, 42, 500
"d:\codes\c++\Rein-Bits\BIOP\BIOP5.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 6, 8, 52
"d:\codes\c++\Rein-Bits\BIOP\BIOPSC.cpp", "C++", 425, 0, 0, 0, 0, 0, 0, 0, 67, 44, 536
"d:\codes\c++\Rein-Bits\BIOP\BIOPSC.h", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 8, 8, 53
"d:\codes\c++\Rein-Bits\BIOP\BIOPSR.cpp", "C++", 165, 0, 0, 0, 0, 0, 0, 0, 25, 24, 214
"d:\codes\c++\Rein-Bits\BIOP\BIOPSR.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 10, 7, 55
"d:\codes\c++\Rein-Bits\BIOP\Makefile", "Makefile", 0, 0, 0, 0, 352, 0, 0, 0, 88, 189, 629
"d:\codes\c++\Rein-Bits\BIOP\README.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
