"filename", "language", "C++", "Python", "Log", "Shell Script", "Markdown", "Jupyter", "HTML", "Makefile", "CSS", "JavaScript", "comment", "blank", "total"
"d:\codes\c++\Rein-Bits\HEM\AWBTree.cpp", "C++", 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 36, 475
"d:\codes\c++\Rein-Bits\HEM\AWBTree.h", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 78
"d:\codes\c++\Rein-Bits\HEM\AdaRein.cpp", "C++", 624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 73, 738
"d:\codes\c++\Rein-Bits\HEM\AdaRein.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 54
"d:\codes\c++\Rein-Bits\HEM\BGTree.cpp", "C++", 850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37, 891
"d:\codes\c++\Rein-Bits\HEM\BGTree.h", "C++", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34, 159
"d:\codes\c++\Rein-Bits\HEM\BGTree_d.cpp", "C++", 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 33, 890
"d:\codes\c++\Rein-Bits\HEM\BGTree_d.h", "C++", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 154
"d:\codes\c++\Rein-Bits\HEM\BGTree_d_vrs.cpp", "C++", 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 687, 18, 1056
"d:\codes\c++\Rein-Bits\HEM\BGTree_d_vrs.h", "C++", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 165
"d:\codes\c++\Rein-Bits\HEM\BloomFilter.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 41
"d:\codes\c++\Rein-Bits\HEM\HEM.cpp", "C++", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 33, 427
"d:\codes\c++\Rein-Bits\HEM\HEM.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 50
"d:\codes\c++\Rein-Bits\HEM\HEM1.cpp", "C++", 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 44, 442
"d:\codes\c++\Rein-Bits\HEM\HEM1.h", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 51
"d:\codes\c++\Rein-Bits\HEM\HEM2.cpp", "C++", 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 44, 614
"d:\codes\c++\Rein-Bits\HEM\HEM2.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 51
"d:\codes\c++\Rein-Bits\HEM\HEM3.cpp", "C++", 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 38, 394
"d:\codes\c++\Rein-Bits\HEM\HEM3.h", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 50
"d:\codes\c++\Rein-Bits\HEM\HEM4.cpp", "C++", 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 46, 564
"d:\codes\c++\Rein-Bits\HEM\HEM4.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 52
"d:\codes\c++\Rein-Bits\HEM\HEM5.cpp", "C++", 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 65, 733
"d:\codes\c++\Rein-Bits\HEM\HEM5.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 55
"d:\codes\c++\Rein-Bits\HEM\HEM5_AS.cpp", "C++", 633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 67, 863
"d:\codes\c++\Rein-Bits\HEM\HEM5_AS.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 53
"d:\codes\c++\Rein-Bits\HEM\HEM5_avxOR.cpp", "C++", 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 60, 678
"d:\codes\c++\Rein-Bits\HEM\HEM5_avxOR.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 55
"d:\codes\c++\Rein-Bits\HEM\HEMSC.cpp", "C++", 396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 50, 625
"d:\codes\c++\Rein-Bits\HEM\HEMSC.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 54
"d:\codes\c++\Rein-Bits\HEM\HEMSR.cpp", "C++", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 31, 302
"d:\codes\c++\Rein-Bits\HEM\HEMSR.h", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 56
"d:\codes\c++\Rein-Bits\HEM\HEM_camera_ready_version\DASFAA-2022.html", "HTML", 0, 0, 0, 0, 0, 0, 886, 0, 0, 0, 16, 44, 946
"d:\codes\c++\Rein-Bits\HEM\HEM_camera_ready_version\DASFAA-2022_files\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1, 8
"d:\codes\c++\Rein-Bits\HEM\HEM_camera_ready_version\DASFAA-2022_files\font-awesome.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 5
"d:\codes\c++\Rein-Bits\HEM\HEM_camera_ready_version\DASFAA-2022_files\jquery.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6578, 1504, 1516, 9598
"d:\codes\c++\Rein-Bits\HEM\HEM_camera_ready_version\DASFAA-2022_files\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 6383, 0, 24, 1073, 7480
"d:\codes\c++\Rein-Bits\HEM\HEM_camera_ready_version\DASFAA-2022_files\smallscreen.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 228, 0, 67, 22, 317
"d:\codes\c++\Rein-Bits\HEM\HEM_camera_ready_version\DASFAA-2022_files\tcc_l.combined.1.0.6.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 34, 0, 77
"d:\codes\c++\Rein-Bits\HEM\HEM_camera_ready_version\DASFAA-2022_files\widescreen.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 77, 25, 337
"d:\codes\c++\Rein-Bits\HEM\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 604, 0, 0, 130, 315, 1049
"d:\codes\c++\Rein-Bits\HEM\OpIndex.cpp", "C++", 527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50, 584
"d:\codes\c++\Rein-Bits\HEM\OpIndex.h", "C++", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33, 119
"d:\codes\c++\Rein-Bits\HEM\PSTree.cpp", "C++", 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 30, 380
"d:\codes\c++\Rein-Bits\HEM\PSTree.h", "C++", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 63
"d:\codes\c++\Rein-Bits\HEM\README.md", "Markdown", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 24, 131
"d:\codes\c++\Rein-Bits\HEM\Rein.cpp", "C++", 723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 70, 943
"d:\codes\c++\Rein-Bits\HEM\Rein.h", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 15, 111
"d:\codes\c++\Rein-Bits\HEM\Simple.cpp", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 60
"d:\codes\c++\Rein-Bits\HEM\Simple.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 35
"d:\codes\c++\Rein-Bits\HEM\Simple2.cpp", "C++", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 62
